Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Turkish Airlines,9/06/2019,Istanbul,Singapore,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,418.12
ANA All Nippon Airways,12/05/2019,Tokyo,Singapore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,187.3
Air New Zealand,01/03/2019,Auckland,Tokyo,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,400.68
Cathay Pacific,24/06/2019,Hong Kong,Sydney,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,116.65
Turkish Airlines,12/03/2019,Istanbul,New York,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,333.95
Delta Air Lines,01/03/2019,Los Angeles,Tokyo,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,670.78
Emirates,12/03/2019,Dubai,Sydney,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,333.95
Turkish Airlines,27/05/2019,Istanbul,New York,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,259.8
Air New Zealand,1/06/2019,Auckland,Tokyo,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,268.28
Cathay Pacific,18/04/2019,Hong Kong,London,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,125.72
ANA All Nippon Airways,24/06/2019,Tokyo,Singapore,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,140.57
Air New Zealand,9/05/2019,Auckland,Los Angeles,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,291.05
Air New Zealand,24/04/2019,Auckland,Sydney,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,144.7
Emirates,3/03/2019,Dubai,Sydney,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,422.03
Japan Airlines,15/04/2019,Tokyo,Paris,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,175.6
Cathay Pacific,12/06/2019,Hong Kong,London,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,309.1
Singapore Airlines,12/06/2019,Singapore,London,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,403.05
Air New Zealand,27/05/2019,Auckland,Tokyo,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,388.5
Japan Airlines,6/03/2019,Tokyo,Sydney,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,,587.2
Singapore Airlines,21/03/2019,Singapore,Tokyo,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,209.5
Cathay Pacific,3/04/2019,Hong Kong,Sydney,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,118.78
Qatar Airways,1/05/2019,Doha,Sydney,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,145.27
Delta Air Lines,6/05/2019,New York,Paris,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,233.65
Japan Airlines,9/06/2019,Tokyo,Bangkok,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,400.35
Virgin Australia,1/06/2019,Sydney,Brisbane,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,248.13
Qatar Airways,15/05/2019,Doha,Sydney,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,231.38
Delta Air Lines,18/06/2019,Atlanta,New York,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,140.6
Emirates,15/06/2019,Dubai,Sydney,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,111.05
Turkish Airlines,18/06/2019,Istanbul,London,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,111.05
ANA All Nippon Airways,1/05/2019,Tokyo,Sydney,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,398.4
Virgin Australia,6/04/2019,Sydney,Brisbane,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,133.22
Emirates,15/06/2019,Dubai,Sydney,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,328.88
Cathay Pacific,18/05/2019,Hong Kong,Tokyo,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,372.68
Emirates,27/06/2019,Dubai,Sydney,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,177.53
Turkish Airlines,21/05/2019,Istanbul,London,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,140.02
,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,188.1
Cathay Pacific,06/03/2019,Hong Kong,Sydney,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,579.08
Virgin Australia,3/06/2019,Sydney,Melbourne,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,449.52
Turkish Airlines,21/05/2019,Istanbul,London,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,,290.55
Singapore Airlines,15/03/2019,Singapore,Tokyo,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,262.48
ANA All Nippon Airways,18/05/2019,Tokyo,Singapore,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,372.68
Virgin Australia,,Sydney,Melbourne,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,101.9
Singapore Airlines,21/03/2019,Singapore,London,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,393.42
Delta Air Lines,24/03/2019,New York,Paris,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,106.22
Virgin Australia,27/05/2019,Sydney,Perth,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,118.78
Delta Air Lines,3/05/2019,Atlanta,New York,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,140.57
Cathay Pacific,15/05/2019,Hong Kong,Tokyo,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,184.25
